CourseMnemonic,OutcomeDescription,IsActive
ds6012,Identify situations that demand ethical responses involving data science,True
ds6012,Develop the skills to respond creatively to critical ethics issues in data science,True
ds6013,Collect and manage data to devise solutions to assigned research projects,True
ds6013,"Select, apply, and evaluate models, tools, and methods to address research projects",True
ds6013,Interpret and assess results and evaluate the limitations of research findings,True
ds6013,"Resolve group work allocation, leadership, and cooperation issues",True
stat6021,Use regression analysis to answer questions of interest in a wide variety of application environments,True
stat6021,Determine the most appropriate regression model for a given data set,True
stat6021,Identify the assumptions and limitations of a given regression model,True
stat6021,Diagnose and remedy common problems with the regression model found in real data,True
stat6021,Work with various data structures and primitive data types in the R programming language,True
stat6021,"Process R dataframes into the forms necessary for subsequent analysis including subsetting by rows, columns, condition, changing column names, removing missing values, combining dataframes with vectors",True
stat6021,Use the appropriate numerical and graphical summaries based on the question of interest and type of data,True
stat6021,Use the statistical software R for regression analysis,True
stat6021,State appropriate context-specific conclusions from an analysis,True
stat6021,"Present and discuss orally and in writing, statistical ideas, methods, and results to lay and professional audiences",True
stat6021,Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects,True
stat6021,Describe the mathematical framework of regression models,True
stat6021,Describe the importance of assessing the assumptions and limitations for a given regression model,True
ds6030,Build classification and regression models for a given data set using R statistical software,True
ds6030,Explain the statistical theory used in data mining that affects how each type of model makes predictions,True
ds6030,"For a given data set and model, determine the optimal algorithmic parameters to customize the results of the model based on practical goals",True
ds6030,"Evaluate the performance of a model in terms of various factors such as accuracy, computational cost, interpretability, and practical requirements",True
ds6030,Determine the most appropriate algorithm for a given data set based on the needs of the user,True
ds6030,Use visualization techniques to help users understand and interpret the data mining results,True
ds6030,Implement KNN regression and classification models in R,True
ds6030,Build linear and nonlinear regression models in R,True
ds6030,Evaluate bias-variance tradeoff of linear regression method,True
ds6030,"Implement LR, LDA, and QDA classification in R",True
ds6030,Implement cross-validation,True
ds6030,Understand the theory behind principal components,True
ds6030,Use principal components transformation to visualize data,True
ds6030,"Use regularization (shrinkage, PCA, lasso) to improve regression accuracy",True
ds6030,Build a CART in R and use for both classification and regression,True
ds6030,Build a random forest (RF) for classification and for regression in R,True
ds6030,Use an SVM for classification and regression in R,True
ds6030,Use K-Means clustering to explore new data in R,True
ds6030,Use hierarchical clustering to create and evaluate clusters in R,True
ds6050,"Create an end-to-end machine learning project at scale using open-source libraries such as NumPy, Keras, TensorFlow, and Google Cloud",True
ds6050,"Formulate various supervised, unsupervised, and reinforcement learning models",True
ds6050,"Apply practical skill sets on designing, deploying, and analyzing deep network architectures on complex real-world problems",True
ds6050,"Use NumPy to describe, identify, and process multi-dimensional arrays and matrices.",True
ds6050,Identify the components of linear algebra most relevant to deep learning.,True
ds6050,Summarize numerical concerns for implementations of deep learning algorithms.,True
ds6050,Design a simple architecture of a multilayer perceptron (MLP).,True
ds6050,Understand how to design different activation functions to solve the vanishing/exploding gradient problem,True
ds6050,"Formulate several forms of regularization strategies to create a large, deep, regularized model",True
ds6050,Review applications of convolutional neural networks (CNNs),True
ds6050,Study the basics of recurrent neural networks (RNNs),True
ds6050,Explore the shortcomings of basic RNNs and how to alleviate them with long short-term memory (LSTM) cells,True
ds6050,Investigate in-depth how autoencoders work and how to use them for dimensionality reduction and feature extraction,True
ds6050,Interpret hidden latent variables using perturbation and generate new examples,True
ds6050,"Explain the training process of adversarial neural networks (GANs), where two neural networks compete against each other, and its difficulties",True
ds6050,Explore various applications of GANs and their recent advances,True
ds6050,Explore the basic components of reinforcement learning (RL) including the Markov decision process (MDP),True
ds6050,Learn to solve for the optimal state-action value by using Q-Learning and Deep Q-Networks (DQNs),True
ds6050,"Examine policy gradients (PGs) to directly optimize the policy, as well as a hybrid method called actor critic advantage",True
ds6050,Understand how to deploy models to TF Serving and then scale up to Google Cloud AI Platform,True
ds6050,"Deploy models to mobile apps, embedded devices, and web apps",True
ds6050,Understand how adversarial attacks work,True
ds6050,Explore bias in data and algorithms,True
ds6050,Analyze the issues in uncertainty estimation,True
ds_biz_analytics,"Understand the fundamentals of modern business with an emphasis on stakeholders, value-creation, industries, markets, and competition",True
ds_biz_analytics,"Apply data science tools to the primary business functions in which they may be working: strategy, sales, marketing, finance, operations, human resources and technology",True
ds_biz_analytics,"Understand key data sources, models, metrics, and tools that will be critical to their success during their careers, as they work in or support each of these business areas.",True
ds_biz_analytics,"Apply ethical data science principles to key business functions (e.g., finance, marketing, etc)",True
ds_biz_analytics,"Use critical thinking skills to understand, analyze, or solve business problems",True
ds_biz_analytics,Communicate effectively in both speech and writing,True
ds_biz_analytics,Collaborate effectively with peers,True
ds_biz_analytics,Formulate and ask insightful questions,True
ds_biz_analytics,Engage appropriately with senior executives at an enterprise level,True
ds_tech_bootcamp,Research documentation on your own as a first line of action,True
ds_tech_bootcamp,Describe the components of a computer,True
ds_tech_bootcamp,Explain the scales of computational power and scales of data,True
ds_tech_bootcamp,"Differentiate between Windows, MacOS ,and Linux operating systems",True
ds_tech_bootcamp,Compare Command Line (CLI) and Graphical User Interface (GUI) shells,True
ds_tech_bootcamp,Demonstrate installing software to your computer,True
ds_tech_bootcamp,Implement important tasks with Linux,True
ds_tech_bootcamp,Create a GitHub account for career or personal use,True
